Artist,CountryRegion,Role,BriefArtistIntroEnglish,BriefArtistIntroChinese,Source
李承铉 (Nathan Lee),China,singer,"Chinese singer and actor of Korean descent, active since the 2000s. He debuted as a member of T.A.K.E. in 2003 before transitioning to a solo career in China. His voice is smooth and polished, with charismatic stage presence. He has released Mandopop singles and appeared in Chinese television dramas.",中韩双语歌手及演员，自2000年代起活跃。2003年作为韩国男团T.A.K.E.成员出道，后在中国开展个人事业。嗓音流畅精致，舞台表现富有魅力。发行了华语流行单曲并出演中国电视剧。,https://www.google.com/search?q=%E6%9D%8E%E6%89%BF%E9%93%89+(Nathan+Lee)+singer+biography
李昂星 (Li Angxing),China,singer,"Chinese singer-songwriter who gained recognition in the early 2020s through online platforms and competition shows. His lyrics are emotionally honest, and his style is folk-pop with acoustic elements blended with modern production. He has released multiple original singles.",中国创作型歌手，2020年代初期通过线上音乐平台和竞演节目获得关注。歌词真挚动人，风格为民谣流行，融合原声乐器与现代流行制作。出道以来已发行多首原创单曲。,https://www.google.com/search?q=%E6%9D%8E%E6%98%82%E6%98%9F+(Li+Angxing)+singer+biography
李楚然 (Li Churan),China,singer,"Chinese singer who gained recognition through talent shows in the late 2010s. Her voice is sweet and melodious, with a pop ballad sensibility. She has released original singles and built a following through digital platforms and live performances.",中国歌手，2010年代末期通过参加选秀节目获得关注。嗓音甜美悦耳，风格偏向流行抒情。此后发行了原创单曲，并通过数字平台和现场演出积累了听众群体。,https://www.google.com/search?q=%E6%9D%8E%E6%A5%9A%E7%84%B6+(Li+Churan)+singer+biography
李玉刚 (Li Yugang),Chinese,singer and performer,"Chinese singer and stage performer known for mastering nandan — male performers portraying female roles in Peking opera. He rose to fame in 2006 on CCTV Star of Outlook, blending traditional Chinese opera with Mandopop. His signature song ""New Drunk Beauty"" became a cultural phenomenon.","中国歌手及舞台表演者，精于男旦""艺术——男性表演者演绎京剧女性角色。2006年通过选秀节目《星光大道》一举成名，将中国传统戏曲与华语流行音乐融合。代表作《新贵妃醉酒》成为文化现象级作品，展现其独特的声乐多样性。""",https://en.wikipedia.org/wiki/Li_Yugang
李玖哲 (Nicky Lee),United States,singer and actor based in Taiwan,"American-born singer and actor based in Taiwan, active since the 2000s. He debuted with his Mandarin solo album Shadow in 2005 and won the Golden Melody Award for Best Mandarin Male Singer in 2007. His style is warm, soulful R&B. Hits include ""No More Love"" and ""The Promise"".",美国出生、活跃于台湾的歌手及演员，自2000年代起活跃。2005年发行首张国语专辑《影子》，2007年获得金曲奖最佳国语男歌手奖。音乐风格温暖深情，擅长R&B。代表作包括《不会爱》和《约定》。,https://en.wikipedia.org/wiki/Nicky_Lee_(singer)
李雪琴 (Li Xueqin),China,脱口秀演员、喜剧创作者、影视演员、作词人、演唱者,"Chinese comedian, talk show performer, actress, lyricist, and vocalist. As lyricist: wrote lyrics for Wang Sulong's Before the Tears Fall and variety show theme songs. As vocalist: released film promotion songs. Singing style is sincere, unadorned, and full of emotional storytelling.",中国脱口秀演员、喜剧创作者、影视演员、作词人、演唱者。作词方面：为汪苏泷创作《眼泪落下之前》，为综艺《五十公里桃花坞》创作主题曲《刚好》。演唱方面：献声电影《风平浪静》推广曲《敬你》（2020）和《无价之宝》推广曲《空荡荡》（2023）。演唱风格真挚质朴、充满故事感。,https://baike.baidu.com/item/%E6%95%AC%E4%BD%A0/54198531; https://baike.baidu.com/item/%E7%A9%BA%E8%8D%A1%E8%8D%A1/63729579
杜宣达 (Du Xuanda),China,singer,"Chinese singer who gained recognition through The Voice of China in the late 2010s. His voice is warm and resonant, with a pop ballad sensibility. He has released original singles and built a growing following through streaming platforms and live performances.",中国歌手，2010年代末期因参加《中国好声音》而获得关注。嗓音温暖、富有共鸣，风格偏向流行抒情。发行了原创单曲，并通过流媒体平台和现场演出积累了持续增长的听众群体。,https://www.google.com/search?q=%E6%9D%9C%E5%AE%A3%E8%BE%BE+(Du+Xuanda)+singer+biography
杨乃文 (Faith Yang),China,singer,"Taiwanese rock and C-pop singer who debuted in the mid-1990s. Her voice is distinctive and cool-toned, with alternative rock sensibility. She won the Golden Melody Award for Best Mandarin Female Singer in 2000. Her music blends rock, electronic, and pop elements with a fiercely independent artistic identity.",台湾摇滚及华语流行歌手，1990年代中期出道。嗓音独特、冷色调，充满另类摇滚感性。2000年获得金曲奖最佳国语女歌手奖。音乐融合摇滚、电子及流行元素，具有强烈的独立艺术身份。,https://en.wikipedia.org/wiki/Faith_Yang
杨千嬅 (Miriam Yeung),Hong Kong,singer and actress,"Hong Kong singer and actress who began her career after winning the New Talent Singing Awards in 1995. Her voice is emotive and heartfelt, with Cantopop ballads. She has released over 20 albums and won numerous music awards. Hits include ""The Song of Women"" and ""Until You"". She is also a celebrated film actress.",香港歌手及演员，1995年获得新秀歌唱大赛后开始演艺生涯。嗓音情感充沛、真挚动人，擅长粤语流行抒情歌曲。已发行超过20张专辑并多次获得音乐奖项。代表作包括《少女的祈祷》和《再见二丁目》。也是备受赞誉的电影演员。,https://en.wikipedia.org/wiki/Miriam_Yeung
杨和苏KeyNG (KeyNG),China,singer,"Chinese rapper and singer who won The Rap of China in 2019. His flow is aggressive, his lyricism is technical, and his stage presence is intense. His music blends hip-hop, trap, and pop elements. He has released multiple albums and singles, establishing himself as a leading figure in Chinese hip-hop.",中国说唱歌手及歌手，2019年获得《中国新说唱》年度总冠军。flow激进、歌词技术性强，舞台表现极具张力。音乐融合嘻哈、陷阱音乐和流行元素。已发行多张专辑和单曲，确立了自己在中国嘻哈领域的领先地位。,https://www.google.com/search?q=%E6%9D%A8%E5%92%8C%E8%8B%8FKeyNG+(KeyNG)+singer+biography
杨宗纬 (Aska Yang),Taiwanese,singer,"Taiwanese Mandopop singer who rose to fame in 2007 on One Million Star with his rich, emotional vocal style. His voice is distinctive with a nasal timbre, and he is known for heartfelt ballad interpretations. Hits include ""One Light"" and ""The Other Shore"".",台湾华语流行歌手，2007年以歌唱选秀节目《超级星光大道》参赛者身份走红。嗓音丰富而富有情感，带有独特的鼻音音色，以深情的情歌演绎闻名。代表作包括《洋葱》和《其实都没有》。,https://en.wikipedia.org/wiki/Aska_Yang
杨润泽 (Yang Runze),China,singer,"Chinese singer who gained recognition in the 2020s through youth music competition shows. His voice is youthful and energetic, with a pop-rock sensibility. He has released original singles and built a following through digital platforms and live performances.",中国歌手，2020年代通过参加青年音乐竞演节目获得关注。嗓音青春活力，风格偏向流行摇滚。发行了原创单曲，并通过数字平台和现场演出积累了听众群体。,https://www.google.com/search?q=%E6%9D%A8%E6%B6%A6%E6%B3%BD+(Yang+Runze)+singer+biography
林俊杰 (JJ Lin),Singaporean,singer-songwriter,"Singaporean singer-songwriter known for polished Mandopop craft, R&B color, precise melody, and emotionally clear songwriting. He debuted in 2003 with Music Voyager and has since become one of the most influential Mandopop artists of his generation. Hits include ""The Dark Knight"" (2013) and ""Twilight"" (2015). He has won multiple Golden Melody Awards.",新加坡创作型歌手，音乐制作精致、融入R&B色彩，旋律精准、创作情感清晰。2003年以专辑《乐行者》出道，此后成为同代最具影响力的华语流行音乐人之一。代表作包括《黑暗骑士》（2013）和《不为谁而作的歌》（2015）。多次获得金曲奖。,https://en.wikipedia.org/wiki/JJ_Lin
林倛玉 (Lin Qiyu),China,singer,"Chinese singer and songwriter active in the Mandopop scene since the 2000s. His voice is smooth and melodic, and he has contributed to television soundtracks. He has released original singles and collaborated with other artists in the Mandopop industry.",中国歌手及词曲作者，自2000年代以来活跃于华语流行乐坛。嗓音流畅、旋律感强，曾为电视剧原声带创作。发行了原创单曲，并与华语流行音乐行业的其他艺人合作。,https://www.google.com/search?q=%E6%9E%97%E5%80%9B%E7%8E%89+(Lin+Qiyu)+singer+biography
林宥嘉,"Taiwan, China",singer,"Taiwanese Mandopop singer who rose to fame as the champion of One Million Star in 2007. His voice is distinctive and dreamy, with emotionally charged pop and rock songs. He has released multiple critically acclaimed albums including Mystery (2008) and Fiction (2017). Hits include ""Liar"" and ""The Natural Way"".",台湾华语流行歌手，2007年获得《超级星光大道》总冠军而走红。嗓音独特而梦幻，流行摇滚歌曲情感充沛。发行了多张广受好评的专辑，包括《神秘嘉宾》（2008）和《美妙生活》（2011）。代表作包括《说谎》和《自然醒》。,https://www.google.com/search?q=%E6%9E%97%E5%AE%A5%E5%98%89+singer+biography
林志炫 (Terry Lin),Taiwanese,singer,"Taiwanese singer with a crystal-clear, elegant high voice and masterful use of head voice and falsetto. He debuted in 1991 as the lead vocalist of Uki, and later launched a successful solo career. Hits include ""Sword of Heaven"" and ""Single Lovers' Night"". He is celebrated for his technical precision and classical vocal control.",台湾歌手，嗓音清澈优雅，精通头声与假声技巧。1991年作为双人组合优客李林的主唱出道，后开展成功的个人事业。代表作包括《你的样子》和《单身情歌》。技术精准、声乐控制力强，备受赞誉。,https://en.wikipedia.org/wiki/Terry_Lin
柏凝 (Baining),China,singer,"Chinese singer and online music creator active since the 2010s in the gufeng and pop crossover scene. His voice is warm and expressive, and he has released original singles and covers that resonate with fans of Chinese fantasy music. He also engages with his audience through digital platforms and live streaming.",中国歌手及线上音乐创作者，自2010年代以来活跃于古风与流行跨界领域。嗓音温暖而富有表现力，发行了原创单曲和翻唱作品，深受中国玄幻音乐爱好者的喜爱。也通过数字平台和直播与听众互动。,https://www.google.com/search?q=%E6%9F%8F%E5%87%9D+(Baining)+singer+biography
柒落Seven (Seven),China,singer,"Chinese singer active in the online music scene since the 2010s. Her voice is ethereal and flowing, with contributions to the gufeng and fantasy music genres. She has released original tracks and collaborated with other online musicians on game and fan project soundtracks.",中国歌手，自2010年代以来活跃于线上音乐圈。嗓音空灵流畅，为古风及玄幻音乐贡献了大量作品。发行了原创歌曲，并与其他线上音乐人合作游戏及粉丝项目配乐。,https://www.google.com/search?q=%E6%9F%92%E8%90%BDSeven+(Seven)+singer+biography
梁博 (Liang Bo),China,singer,"Chinese singer-songwriter and rock musician who won The Voice of China in 2012. His voice is raw and gravelly, with guitar-driven rock style. He has released multiple albums including Liang Bo (2014) and The Edge of the World (2016). His music draws from classic rock, folk, and blues influences.",中国创作型歌手及摇滚音乐人，2012年获得《中国好声音》年度总冠军。嗓音原始粗犷，音乐以吉他驱动的摇滚风格为主线。发行了多张专辑，包括《梁博》（2014）和《迷藏》（2015）。音乐受经典摇滚、民谣和蓝调影响。,https://www.google.com/search?q=%E6%A2%81%E5%8D%9A+(Liang+Bo)+singer+biography
梁龙 (Liang Long),China,singer,"Chinese singer and lead vocalist of the legendary rock band Second Hand Rose, formed in 1999. His vocal style is distinctive and theatrical, incorporating Chinese folk and opera elements into rock music. He has become an iconic figure in China's underground and indie rock scene. His stage performances feature bold visual aesthetics and cultural commentary.",中国歌手，传奇摇滚乐队二手玫瑰（成立于1999年）的主唱。嗓音独特而戏剧化，将中国民间及戏曲元素融入摇滚音乐，是中国地下及独立摇滚场景的标志性人物。舞台表演以大胆的视觉美学和文化批判为特征。,https://www.google.com/search?q=%E6%A2%81%E9%BE%99+(Liang+Long)+singer+biography
檀健次 (Tan Jianci),China,歌手、演员、舞者,"Chinese singer, actor, and dancer. Debuted in 2010 as bass vocalist of MIC boy group. First solo single Fly Away (2014) highlights low-range vocal strengths. Voice described as magnetic smoky voice, capable of ballads, rap, dance-pop, and Peking opera singing.",中国内地男歌手、演员、舞者。2010年以MIC男团低音主唱身份出道。首支个人单曲《Fly Away》（2014）着重展现低音优势。嗓音兼具磁性烟嗓特质，能够驾驭情歌、说唱、唱跳快歌乃至京剧戏腔等多种风格。,https://baike.baidu.com/item/fly%20away/16354156; https://m.toutiao.com/w/1773561145035795/
毕雯珺 (Bi Wenjun),China,singer,"Chinese singer who rose to fame in 2018 as a member of NINE PERCENT. His voice is clear and melodic, with polished stage presence. He has released solo singles and pursued an acting career in dramas and films since his debut.",中国歌手，2018年在《偶像练习生》中以第十名出道，成为男团NINE PERCENT成员而走红。嗓音清亮、旋律化，舞台表现精致。此后发行了个人单曲并在电视剧和电影中开展演艺事业。,https://www.google.com/search?q=%E6%AF%95%E9%9B%AF%E7%8F%BA+(Bi+Wenjun)+singer+biography
毛不易 (Mao Buyi),Chinese,singer-songwriter,"Chinese singer-songwriter who won The Coming One in 2017. His songwriting is plainspoken and observant, with a gentle, warm vocal delivery. His music captures ordinary loneliness and daily life with emotional honesty. He has released four studio albums to which he authored all lyrics and compositions.",中国创作型歌手，2017年获得选秀节目《明日之子》冠军而走红。创作风格平实而敏锐，嗓音温柔温暖。音乐以真挚的情感捕捉平凡的孤独与日常生活。已发行四张全创作录音室专辑。,https://en.wikipedia.org/wiki/Mao_Buyi
毛阿敏 (Mao Amin),Chinese,singer,"Chinese singer who rose to prominence in the late 1980s as one of mainland China's earliest prominent pop singers. Her voice is rich and dignified, with a powerful ballad style. She has released numerous hit songs and remains a revered figure in Chinese pop music history.",中国歌手，1980年代末期作为中国最早的一批著名流行歌手之一崭露头角。嗓音丰满庄重，抒情歌曲充满力量感。发行了众多热门歌曲，在中国流行音乐史上仍是一位备受尊敬的人物。,https://en.wikipedia.org/wiki/Mao_Amin
汪晨蕊 (Wang Chenrui),China,singer,"Chinese singer who gained recognition through The Voice of China in 2016. Her voice is clear and pure, with an emotive ballad style. She has released original singles and contributed to television soundtracks, building a steady following through digital platforms.",中国歌手，2016年因参加《中国好声音》而获得关注。嗓音清亮纯净，抒情风格情感充沛。此后发行了原创单曲并为电视剧原声带献声，通过数字平台积累了稳定的听众群体。,https://www.google.com/search?q=%E6%B1%AA%E6%99%A8%E8%95%8A+(Wang+Chenrui)+singer+biography
汪苏泷 (Silence Wang),Chinese,singer-songwriter,"Chinese singer-songwriter who made his debut with Dreams Come True in 2010. His music features clean pop melodies, youthful warmth, and easy-to-enter emotional storytelling. He has released 12 albums and contributed to numerous television drama soundtracks. Hits include ""The Great Woo"" and ""Contradiction"".",中国创作型歌手，2010年以专辑《慢慢懂》出道。音乐以干净的流行旋律、青春温暖和易于进入的情感叙事见长。已发行12张专辑并为多部电视剧原声带创作。代表作包括《万有引力》和《有点甜》。,https://en.wikipedia.org/wiki/Silence_Wang
沙一汀EL (Shayiting EL),China,singer,"Chinese rapper and singer who gained recognition in 2020 through Rap for Youth. His flow is relaxed, his hooks are melodic, and his lyrics are introspective. His music blends hip-hop, pop, and electronic elements. He has released original singles and built a growing fanbase.",中国说唱歌手及歌手，2020年通过参与《说唱新世代》获得关注。flow轻松、旋律化的钩子抓耳，歌词内省。音乐融合嘻哈、流行及电子元素。此后发行了原创单曲并积累了持续增长的粉丝群体。,https://www.google.com/search?q=%E6%B2%99%E4%B8%80%E6%B1%80EL+(Shayiting+EL)+singer+biography
洪佩瑜 (Pei-Yu Hung),China,singer,"Taiwanese singer who rose to fame in 2010 as the runner-up on One Million Star. Her voice is warm and soulful, with emotional ballad interpretations. She has released albums and contributed to film soundtracks, including the critically acclaimed Faces (2023).",台湾歌手，2010年获得《超级星光大道》亚军后走红。嗓音温暖深情，擅长情感充沛的情歌演绎。发行了专辑并为电影原声带献声，包括广受好评的《明室》（2023）。,https://www.google.com/search?q=%E6%B4%AA%E4%BD%A9%E7%91%9C+(Pei-Yu+Hung)+singer+biography
满江 (Man Jiang),China,singer,"Chinese singer who debuted in the late 1990s. His style is smooth, romantic ballads, and he released multiple albums in the 2000s. He reinvented himself with a more indie-folk sound in the 2010s. Known for his gentle vocal delivery and heartfelt lyrics, he remains a respected figure in Chinese pop.",中国歌手，1990年代末出道，擅长流畅浪漫的情歌。2000年代发行了多张专辑，2010年代以更偏向独立民谣的音乐风格重新塑造自我。嗓音温柔、歌词真挚，在中国流行乐坛仍是一位备受尊重的人物。,https://www.google.com/search?q=%E6%BB%A1%E6%B1%9F+(Man+Jiang)+singer+biography
焦迈奇 (Jiao Maiqi),China,singer,"Chinese singer-songwriter who gained recognition in the late 2010s through online platforms and talent shows. His voice is youthful and bright, with a folk-pop sensibility. His music blends acoustic elements with modern pop production. He has released original albums including Alien (2019).",中国创作型歌手，2010年代末期通过线上平台和选秀节目获得关注。嗓音青春明亮，风格偏向民谣流行。音乐融合原声乐器与现代流行制作。已发行原创专辑，包括《我的名字》（2019）。,https://www.google.com/search?q=%E7%84%A6%E8%BF%88%E5%A5%87+(Jiao+Maiqi)+singer+biography
王OK (Wang OK),China,singer,"Chinese singer who gained recognition in the 2020s through social media and streaming platforms. Her voice is sweet and melodic, with a pop-ballad sensibility. She has released original singles and built a dedicated following through digital content creation.",中国歌手，2020年代通过社交媒体和流媒体平台获得关注。嗓音甜美、旋律化，风格偏向流行抒情。发行了原创单曲，并通过数字内容创作积累了忠实的听众群体。,https://www.google.com/search?q=%E7%8E%8BOK+(Wang+OK)+singer+biography
王心凌 (Cyndi Wang),"Taiwan, China",singer and actress,"Taiwanese singer and actress who debuted with Begin... in 2003. Her voice is sweet and youthful, with a signature ""sweet pop"" image that made her one of the most iconic Mandopop artists of the 2000s. Hits include ""When You"" (2004) and ""Woo Hoo"" (2005). She experienced a major career resurgence in 2022 through Sisters Who Make Waves.","台湾歌手及演员，2003年以专辑《Begin...》出道。嗓音甜美青春，以标志性的甜蜜流行""形象成为2000年代最具标志性的华语流行艺人之一。代表作包括《当你》（2004）和《睫毛弯弯》（2005）。2022年通过综艺节目《乘风破浪》经历了一次重大的事业复兴。""",https://en.wikipedia.org/wiki/Cyndi_Wang
王栎鑫 (Wang Yuexin),China,歌手、影视演员,"Chinese singer and actor. Rose to fame in 2007 as a finalist on Super Boy. Voice is full-range — bright clear high notes, warm mid-range with gravelly texture. Music spans sentimental ballads, rock-infused pop, and narrative songs.",中国内地男歌手、影视演员。2007年参加《快乐男声》获全国第七名出道。嗓音具有极高可塑性——高音清亮有金属质感，中低音温暖厚实带颗粒感。音乐风格横跨抒情慢歌、摇滚流行及叙事性作品。,https://pc.service.kugou.com/yueku/2019/singer/home/2750-0-1-w.html; https://www.douban.com/group/topic/272140842/
王梓赫Ray (Ray Wang),China,singer,"Chinese singer and producer active since the 2010s. His vocal style is versatile, and he has contributed to pop and soundtrack music. He has released original singles and worked as a producer and arranger for other artists in the Mandopop industry.",中国歌手及制作人，自2010年代以来活跃。嗓音风格多样，为流行及配乐音乐贡献了大量作品。发行了原创单曲，并为华语流行音乐行业的其他艺人担任制作人和编曲。,https://www.google.com/search?q=%E7%8E%8B%E6%A2%93%E8%B5%ABRay+(Ray+Wang)+singer+biography
王菀之 (Ivana Wong),"Hong Kong, China",singer-songwriter,"Hong Kong singer-songwriter who debuted in 2005. Her voice is ethereal and delicate, with an art-pop sensibility. Her music blends Cantopop, indie, and classical influences, characterized by poetic lyrics and unconventional melodic structures. Hits include ""Where's the Love"" and ""The Art of Love"". She has won multiple music awards in Hong Kong.",香港创作型歌手，2005年出道。嗓音空灵细腻，风格偏向艺术流行。音乐融合粤语流行、独立及古典元素，以诗意的歌词和非传统的旋律结构为特征。代表作包括《我真的受伤了》和《画意》。多次获得香港音乐奖项。,https://www.google.com/search?q=%E7%8E%8B%E8%8F%80%E4%B9%8B+(Ivana+Wong)+singer+biography
王赫野 (Wang Heye),China,singer,"Chinese singer who gained recognition in the 2020s through music talent shows. His voice is clear and youthful, with a pop-rock sensibility. He has released original singles and built a following through digital platforms and live performances.",中国歌手，2020年代通过参加音乐选秀节目获得关注。嗓音清亮青春，风格偏向流行摇滚。此后发行了原创单曲，并通过数字平台和现场演出积累了听众群体。,https://www.google.com/search?q=%E7%8E%8B%E8%B5%AB%E9%87%8E+(Wang+Heye)+singer+biography
王靖雯 (Wang Jingwen),China,singer,"Chinese singer who gained recognition in the 2020s through online music platforms. Her voice is sweet and emotive, with a pop-ballad sensibility. She has released original singles and built a dedicated following through streaming platforms and social media.",中国歌手，2020年代通过线上音乐平台获得关注。嗓音甜美、情感充沛，风格偏向流行抒情。发行了原创单曲，并通过流媒体平台和社交媒体积累了忠实的听众群体。,https://www.google.com/search?q=%E7%8E%8B%E9%9D%96%E9%9B%AF+(Wang+Jingwen)+singer+biography
琥珀xisa (Amber Xisa),China,singer,"Chinese singer active in the online music scene since the 2010s. Her voice is ethereal and flowing, with contributions to gufeng and fantasy music. She has released original tracks and collaborated with other online musicians on game and fan project soundtracks.",中国歌手，自2010年代以来活跃于线上音乐圈。嗓音空灵流畅，为古风及玄幻音乐贡献了大量作品。发行了原创歌曲，并与其他线上音乐人合作游戏及粉丝项目配乐。,https://www.google.com/search?q=%E7%90%A5%E7%8F%80xisa+(Amber+Xisa)+singer+biography
田馥甄 (Hebe Tien),Taiwanese,singer,"Taiwanese singer who rose to fame in 2001 as a member of S.H.E. She launched her solo career in 2010 with To Hebe, showcasing her ethereal vocal style and indie-pop sensibility. She has released multiple critically acclaimed albums and won Golden Melody Awards, including Best Mandarin Female Singer for Time Will Tell (2021).",台湾歌手，2001年作为S.H.E成员走红。2010年以专辑《To Hebe》开启个人事业，展现空灵的嗓音风格和独立流行感性。已发行多张广受好评的专辑并获得金曲奖，包括2021年凭借《无人知晓》获得最佳华语女歌手奖。,https://en.wikipedia.org/wiki/Hebe_Tien
窦靖童 (Leah Dou),Chinese,singer-songwriter and screen performer,"Chinese singer-songwriter and actress, daughter of musicians Dou Wei and Faye Wong. She debuted in 2015 and has since developed a distinctive indie-folk and electronic-pop sound. Her voice is deep and laid-back, with artistic independence. She has released multiple EPs and albums, including Stone Café (2016) and GSG MIXTAPE (2020).",中国创作型歌手及演员，音乐人窦唯与王菲之女。2015年发行首支单曲出道，此后发展出独特的独立民谣和电子流行风格。嗓音低沉慵懒，充满艺术独立性。已发行多张EP和专辑，包括《Stone Café》（2016）和《GSG MIXTAPE》（2020）。,https://en.wikipedia.org/wiki/Leah_Dou
简单对话 A Little Conversation (A Little Conversation),China,group,"Chinese indie band formed in the 2010s. Their sound is relaxed and melodic, blending indie-pop, folk, and alternative rock. Their music features gentle vocal harmonies, introspective lyrics, and understated arrangements that prioritize emotional atmosphere.",中国独立乐队，成立于2010年代，音乐轻松舒缓、旋律性强，融合独立流行、民谣和另类摇滚。作品以温柔的人声和声、内省的歌词和克制的编配为特征，注重情感氛围。,https://www.google.com/search?q=%E7%AE%80%E5%8D%95%E5%AF%B9%E8%AF%9D+A+Little+Conversation+(A+Little+Conversation)+singer+biography
翟潇闻 (Zhai Xiaowen),China,singer,"Chinese singer who rose to fame in 2019 as a member of R1SE. His voice is smooth and melodic, with youthful stage presence. He has released solo singles and pursued an acting career since his debut.",中国歌手，2019年在《创造营2019》中以第六名出道，成为男团R1SE成员而走红。嗓音流畅、旋律化，舞台表现青春活力。此后发行了个人单曲并开展演艺事业。,https://www.google.com/search?q=%E7%BF%9F%E6%BD%87%E9%97%BB+(Zhai+Xiaowen)+singer+biography
老虎欧巴 (Tiger Oppa),China,singer,"Chinese singer active in the online music scene since the 2010s, known for his work in the gufeng and pop crossover genres. His music draws from historical themes and traditional Chinese musical motifs, reinterpreted through modern production and melodic pop arrangements.",中国歌手，自2010年代以来活跃于线上音乐圈，以古风与流行跨界风格见长。音乐取材于历史主题和传统中国音乐元素，并通过现代制作和旋律化的流行编曲进行重新诠释。,https://www.google.com/search?q=%E8%80%81%E8%99%8E%E6%AC%A7%E5%B7%B4+(Tiger+Oppa)+singer+biography
耿斯汉 (Geng Sihan),China,singer,"Chinese singer who gained recognition through The Voice of China in 2014. His voice is powerful and gravelly, with rock-infused pop style. He has released original singles and albums, including The Other Side of the Island (2020). His music features emotional intensity and raw delivery.",中国歌手，2014年因参加《中国好声音》而获得关注。嗓音充满力量、沙哑质感，风格为融入摇滚元素的流行音乐。发行了原创单曲和专辑，包括《给时间以时间》（2020）。音乐以情感强度和原始的演绎方式为特征。,https://www.google.com/search?q=%E8%80%BF%E6%96%AF%E6%B1%89+(Geng+Sihan)+singer+biography
胡彦斌 (Tiger Hu),Chinese,singer-songwriter,"Chinese singer-songwriter, music director, and record producer who debuted in 2000. His style is R&B-infused Mandopop with a distinctive nasal vocal tone. He has released over 10 albums and won numerous music awards. He is also a sought-after producer and arranger, having worked with many top Mandopop artists.",中国创作型歌手、音乐总监及唱片制作人，2000年出道。音乐风格融入R&B元素，嗓音带有独特的鼻音音色。已发行超过10张专辑并多次获得音乐奖项。也是备受欢迎的制作人和编曲家，曾与多位顶尖华语流行艺人合作。,https://en.wikipedia.org/wiki/Tiger_Hu
艾热AIR (Air),China,singer,"Chinese rapper and singer who won The Rap of China in 2018. His flow is melodic, his delivery is rhythmic, and he blends hip-hop with Chinese ethnic music elements. His music blends trap, R&B, and traditional influences with contemporary production.",中国说唱歌手及歌手，2018年获得《中国新说唱》年度总冠军。flow旋律化、节奏性强，将嘻哈与中国民族音乐元素融合。音乐融合陷阱音乐、R&B和传统影响与当代制作。,https://www.google.com/search?q=%E8%89%BE%E7%83%ADAIR+(Air)+singer+biography
艾薇 Ivy (Ivy Lee),China,singer,"Malaysian-born Chinese singer who gained recognition in the 2020s through singing competitions. Her voice is powerful and emotive, with a pop-ballad style. She has released original singles and built a growing following through digital platforms and live performances.",马来西亚出生、活跃于中国的歌手，2020年代通过参加歌唱比赛获得关注。嗓音充满力量、情感充沛，风格偏向流行抒情。发行了原创单曲，并通过数字平台和现场演出积累了持续增长的听众群体。,https://www.google.com/search?q=%E8%89%BE%E8%96%87+Ivy+(Ivy+Lee)+singer+biography
苏见信 (信) (Shin),China,singer,"Taiwanese singer, former lead vocalist of the rock band Shin, active since the early 2000s. His voice is powerful with a high-range tenor, and his style is rock-ballad. He has released multiple solo albums after leaving the band. Hits include ""The One"" and ""The Sea of Tears"". His vocal style features intense emotional delivery and technical control.",台湾歌手，摇滚乐队信乐团前主唱，自2000年代初期起活跃。嗓音富有力量、高音出众，风格为摇滚抒情。离团后发行了多张个人专辑。代表作包括《死了都要爱》和《离歌》。嗓音风格以强烈的情感演绎和技术控制为特征。,https://www.google.com/search?q=%E8%8B%8F%E8%A7%81%E4%BF%A1+(%E4%BF%A1)+(Shin)+singer+biography
苏诗丁 (Juno Su),China,singer,"Chinese singer-songwriter who gained recognition in the late 2010s through The Voice of China and Singer. Her vocal style is versatile and theatrical, with an art-pop sensibility. Her music blends pop, rock, and electronic elements with dramatic emotional expression.",中国创作型歌手，2010年代末期通过参加《中国好声音》和《歌手》节目获得关注。嗓音多才多艺、充满戏剧性，风格偏向艺术流行。音乐融合流行、摇滚及电子元素，以戏剧性的情感表达为特征。,https://www.google.com/search?q=%E8%8B%8F%E8%AF%97%E4%B8%81+(Juno+Su)+singer+biography
范逸臣 Van Fan (Van Fan),China,singer,"Taiwanese singer and actor who debuted in 2002 with ""I Believe"" (the theme song for My Sassy Girl). His voice is warm and emotive, with a ballad style. He has released multiple albums and starred in films, including Cape No. 7 (2008).",台湾歌手及演员，2002年凭借电影《我的野蛮女友》中文主题曲《I Believe》出道。嗓音温暖、情感充沛，风格偏向抒情。发行了多张专辑并出演电影，包括热门电影《海角七号》（2008）。,https://www.google.com/search?q=%E8%8C%83%E9%80%B8%E8%87%A3+Van+Fan+(Van+Fan)+singer+biography
莫非定律乐团 (MFLD),China,band,"Chinese indie band formed in the 2010s. Their sound is atmospheric and genre-blending, combining indie-rock, electronic, and dream-pop elements. Their music features lush production, introspective lyrics, and ethereal vocal melodies, building a following in the indie scene.",中国独立乐队，成立于2010年代，音乐氛围感强、风格跨越多变，融合独立摇滚、电子和梦幻流行元素。制作丰富、歌词内省、人声旋律空灵，在独立音乐圈中积累了听众群体。,https://www.google.com/search?q=%E8%8E%AB%E9%9D%9E%E5%AE%9A%E5%BE%8B%E4%B9%90%E5%9B%A2+(MFLD)+singer+biography
